Movie ID,Title,Contributor ID,Contributor Name,Role
20,The Lord of the Rings: The Fellowship of the Ring,189,Fran Walsh,WRITER
20,The Lord of the Rings: The Fellowship of the Ring,190,Philippa Boyens,WRITER
20,The Lord of the Rings: The Fellowship of the Ring,189,Fran Walsh,PRODUCER
20,The Lord of the Rings: The Fellowship of the Ring,191,Peter Jackson,DIRECTOR
20,The Lord of the Rings: The Fellowship of the Ring,192,J.R.R. Tolkien,WRITER
20,The Lord of the Rings: The Fellowship of the Ring,193,Elijah Wood,ACTOR
20,The Lord of the Rings: The Fellowship of the Ring,191,Peter Jackson,PRODUCER
20,The Lord of the Rings: The Fellowship of the Ring,194,Ian McKellen,ACTOR
20,The Lord of the Rings: The Fellowship of the Ring,132,Barrie M. Osborne,PRODUCER
21,Spider-Man: No Way Home,195,Victoria Alonso,PRODUCER
21,Spider-Man: No Way Home,83,Benedict Cumberbatch,ACTOR
21,Spider-Man: No Way Home,196,Jacob Batalon,ACTOR
21,Spider-Man: No Way Home,197,Chris McKenna,WRITER
21,Spider-Man: No Way Home,198,Louis D'Esposito,PRODUCER
21,Spider-Man: No Way Home,199,Jon Watts,DIRECTOR
21,Spider-Man: No Way Home,200,Zendaya,ACTOR
21,Spider-Man: No Way Home,201,Michael Giacchino,MUSICIAN
21,Spider-Man: No Way Home,202,Mitchell Bell,PRODUCER
21,Spider-Man: No Way Home,203,Stan Lee,WRITER
21,Spider-Man: No Way Home,204,Avi Arad,PRODUCER
21,Spider-Man: No Way Home,205,Tom Holland,ACTOR
21,Spider-Man: No Way Home,206,Erik Sommers,WRITER
22,Inception,31,Hans Zimmer,MUSICIAN
22,Inception,175,Leonardo DiCaprio,ACTOR
22,Inception,29,Christopher Nolan,PRODUCER
22,Inception,207,Joseph Gordon-Levitt,ACTOR
22,Inception,29,Christopher Nolan,WRITER
22,Inception,208,Zakaria Alaoui,PRODUCER
22,Inception,209,John Bernard,PRODUCER
22,Inception,210,Elliot Page,ACTOR
22,Inception,29,Christopher Nolan,DIRECTOR
22,Inception,211,Tom Hardy,ACTOR
23,The Irishman,8,Steven Zaillian,WRITER
23,The Irishman,212,Robert De Niro,ACTOR
23,The Irishman,212,Robert De Niro,PRODUCER
23,The Irishman,213,Harvey Keitel,ACTOR
23,The Irishman,214,Martin Scorsese,DIRECTOR
23,The Irishman,215,Gabriele Israilovici,PRODUCER
23,The Irishman,216,Robbie Robertson,MUSICIAN
23,The Irishman,217,Charles Brandt,WRITER
23,The Irishman,71,Al Pacino,ACTOR
23,The Irishman,218,Gerald Chamales,PRODUCER
23,The Irishman,219,Randall Emmett,PRODUCER
23,The Irishman,184,Joe Pesci,ACTOR
24,Licorice Pizza,220,Will Angarola,ACTOR
24,Licorice Pizza,221,Aaron L. Gilbert,PRODUCER
24,Licorice Pizza,222,Paul Thomas Anderson,WRITER
24,Licorice Pizza,223,Alana Haim,ACTOR
24,Licorice Pizza,224,Cooper Hoffman,ACTOR
24,Licorice Pizza,80,Jonny Greenwood,MUSICIAN
24,Licorice Pizza,222,Paul Thomas Anderson,PRODUCER
24,Licorice Pizza,222,Paul Thomas Anderson,DIRECTOR
24,Licorice Pizza,225,Jason Cloth,PRODUCER
24,Licorice Pizza,226,Daniel Lupi,PRODUCER
24,Licorice Pizza,227,Sean Penn,ACTOR
25,Portrait of a Lady on Fire.,228,Jean-Baptiste de Laubier,MUSICIAN
25,Portrait of a Lady on Fire.,229,Celine Sciamma,DIRECTOR
25,Portrait of a Lady on Fire.,230,Benedicte Couvreur,PRODUCER
25,Portrait of a Lady on Fire.,231,Arthur Simonini,MUSICIAN
25,Portrait of a Lady on Fire.,232,Luana Bajrami,ACTOR
25,Portrait of a Lady on Fire.,229,Celine Sciamma,WRITER
25,Portrait of a Lady on Fire.,233,Valeria Golino,ACTOR
25,Portrait of a Lady on Fire.,234,Adele Haenel,ACTOR
25,Portrait of a Lady on Fire.,235,Noemie Merlant,ACTOR
